seat                 | bash | write | edit | verdict
implementer          | yes  | yes   | yes  | PASS
reviewer             | no   | no    | no   | PASS
ac-verifier          | yes  | no    | no   | PASS
researcher           | no   | no    | no   | PASS
designer             | yes  | yes   | yes  | PASS
planner              | yes  | no    | no   | PASS
security-reviewer    | no   | no    | no   | PASS
visual-qa            | yes  | no    | no   | PASS
linear               | yes  | no    | no   | PASS
orchestrator         | yes  | yes   | yes  | PASS
personal-assistant   | yes  | yes   | yes  | PASS
remotion             | yes  | yes   | yes  | PASS
=== done ===
